source,target
GR,0723
GR,0724
GR,0948
GR,0945
GR,0867
GR,0581
GR,0708
GR,0947
GR,0765
G,0001
V,0217
GR,0056
GR,0047
GR,0946
Q,0002
GR,0693
GR,0695
GR,0694
GR,0890
GR,0693
GR,0692
GR,0699
GR,0306
GR,0305
GR,0306
GR,0663
GR,0321
GR,0696
GR,0305
GR,0306
GR,0198
GR,1056
GR,0198
GR,0696
GR,0305
GR,0306
GR,0699
GR,0306
GR,0695
GR,0692
GR,0677
GR,0676
G,0001
GR,0082
G,0001
GR,0705
I,0016
GR,0522
QT,0504
GR,0069
GR,0725
GR,0689
GR,0722
G,0001
GR,0183
GR,0701
G,0001
GR,0183
GR,0698
G,0001
GR,0183
GR,0717
G,0001
GR,0183
GR,0501
G,0001
K,0008
GR,0500
GR,0332
GR,1061
GR,0193
G,0001
G,0001
G,0008
G,0001
G,0008
G,0001
GR,0008
G,0001
G,0001
G,0001
YL,0013
YL,0013
YL,0013
G,0001
G,0001
G,0001
G,0001
G,0001
BD,0008
GR,0054
GR,0005
GR,0010
GR,0054
GR,0010
G,0054
GR,0005
GR,0488
GR,0003
GR,0010
GR,0054
GR,0005
GR,0489
GR,0003
GR,0054
GR,0005
G,0488
G,0054
GR,0005
GR,0488
GR,0003
G,0860
GR,0054
GR,0861
GR,0035
GR,0054
GR,0005
G,0488
GR,0003
GR,0054
GR,0010
GR,0054
GR,0005
G,0488
GR,0003
GR,0054
G,0488
GR,0003
GR,0054
GR,0005
GR,0003
GR,0488
G,0054
G,0488
GR,0086
GR,0003
GR,0010
GR,0083
GR,0054
GR,0488
GR,0054
GR,0010
GR,0054
GR,0003
GR,0010
G,0054
GR,0005
G,0488
GR,0054
GR,0005
G,0488
GR,0543
HG,0399
G,1104
U,0019
GR,0003
G,0001
GR,0203
G,1104
G,0001
GR,0003
U,0423
G,0001
BD,0505
G,1104
G,0041
BD,0505
GR,0210
G,1104
GR,0330
U,0422
G,0001
G,1104
GR,0210
G,0505
GR,0263
U,0423
GR,0011
GR,0718
G,0005
GR,0330
G,0001
GR,0706
G,1104
Q,0002
K,0136
GR,0811
G,1104
GR,0263
G,0256
G,0001
G,0001
GR,0904
G,0001
G,0004
G,1104
G,0001
G,0001
U,0423
GR,0330
BD,0505
G,1104
GR,0263
G,0001
U,0423
GR,0876
GR,0330
G,0256
G,0004
GR,0062
GR,0492
G,1104
GR,0263
GR,0087
GR,0210
G,0005
G,1104
GR,0001
U,0423
GR,0901
GR,0424
GR,0003
G,1104
G,0170
GR,0210
G,0005
GR,0876
GR,0654
G,1104
G,0872
GR,0424
G,0001
G,0001
GR,0085
GR,0263
G,0001
G,1104
U,0626
G,0041
G,0004
G,0001
G,0256
G,1104
G,0004
G,0001
G,1104
U,0626
G,0041
G,0004
G,0001
GR,0876
GR,0424
G,1104
G,0001
QS,0072
G,0041
G,0001
U,0423
GR,0003
G,0005
G,0862
G,0001
G,0005
G,0862
GR,0005
G,0001
G,0864
GR,0040
YL,0013
QS,0003
G,0819
G,0051
GR,0796
GR,0003
GR,0054
GR,0005
GR,0005
G,0054
G,0001
GR,0806
GR,0084
U,0019
GR,0005
GR,0062
QT,0054
GR,0005
GR,0010
GR,0877
QT,0840
GR,0548
I,0624
GR,0054
G,0488
GR,0161
GR,0003
GR,0010
GR,0054
G,0488
GR,0161
GR,0003
GR,0010
GR,0998
QT,0054
GR,0005
G,0488
GR,0010
GR,0054
GR,0005
GR,0488
GR,0010
GR,0877
GR,0863
P,0859
GR,0054
G,0488
GR,0013
GR,0877
GR,0001
GR,0806
GR,0084
GR,1130
GR,0605
G,0001
QS,0398
GR,0402
B,0135
GR,0653
G,0001
GR,0079
GR,0054
GR,0625
GR,0054
GR,0442
Q,1007
GR,0552
G,0001
GR,0586
GR,0560
S,0558
GR,0554
GR,0700
GR,0587
G,0001
GR,1161
P,0667
GR,0223
GR,0557
P,0667
GR,0878
GR,0555
GR,0556
GR,0858
GR,0857
GR,0091
GR,0907
GR,0091
GR,0907
GR,0091
GR,0907
GR,0091
GR,0907
GR,0908
GR,0908
GR,0908
GR,0140
HX-LS,0583
GR,0140
HX-LS,0583
GR,0140
HX-LS,0583
HX-LS,0582
HX-LS,0582
HX-LS,0582
GR,1144
GR,1144
GR,1144
GR,0268
GR,0003
GR,0187
GR,0268
GR,0003
GR,0187
GR,0358
S,0553
GR,0362
GR,0322
GR,0318
GR,0359
GR,0319
GR,0360
GR,0934
GR,0628
GR,0363
GR,0361
QS-BX,0077
GR,0364
HX-LS,0533
G,0001
XX,0017
GR,0764
GR,0411
GR,0412
GR,0356
GR,1162
GR,0355
GR,0352
AD,0355
GR,0350
GR,0357
GR,0351
GR,0354
GR,0355
GR,1008
GR,0357
GR,0351
QT,0439
GR,0884
GR,0885
GR,0579
GR,0426
GR,0843
GR,0842
GR,0882
GR,0756
GR,0117
GR,0640
H,0335
GR,0640
GR,0530
G,0001
GR,0530
G,0001
G,0793
GR,0530
G,0001
G,0793
GR,0530
G,0793
F,0439
G,0001
GR,0530
G,0793
GR,0530
G,0001
GR,0530
G,0001
G,0793
GR,0530
G,0793
F,0439
GR,1186
GR,1186
H,0053
W,0433
GR,1186
GR,1186
H,0053
W,0450
GR,1186
H,0053
QS-CH,0455
H,0053
GR,1186
W,1053
GR,1186
H,0053
GR,1186
H,0053
W,1053
GR,0435
E,0661
GR,0435
E,0221
E,0661
GR,0435
GR,0797
E,0661
GR,1186
GR,0432
GR,0265
GR,0435
E,0221
E,0661
GR,0435
GR,0797
GR,0435
W,0996
GR,0435
E,0661
GR,1186
H,0053
W,0433
GR,1186
GR,0333
GR,0333
GR,0440
GR,0429
GR,0429
GR,0441
GR,0822
GR,0922
GR,0074
GR,1138
W,1067
GR,1133
GR,0074
GR,1134
GR,1139
GR,1137
P,0524
GR,0074
GR,1132
W,1139
GR,0074
GR,1131
GR,1037
GR,0309
GR,0002
GR,0311
GR,0310
GR,0511
Q,0002
GR,0512
GR,1076
GR,0511
Q,0002
GR,0512
GR,1076
GR,0511
GR,0511
Q,0002
GR,0512
GR,1076
F,0910
GR,0823
GR,0820
GR,0839
G,0001
G,0298
GR,0012
GR,0219
GR,0218
GR,1095
G,0001
GR,0220
GR,1135
GR,0012
GR,1177
GR,0012
GR,0274
GR,0258
GR,0258
K,0143
GR,0134
G,0001
GR,0134
K,0143
G,0001
GR,0664
G,0549
GR,0249
GR,0250
GR,0261
K,0325
GR,0873
GR,0068
K,0259
GR,0261
K,0259
GR,0260
K,0325
G,0001
G,0001
G,0001
G,0008
GR,0003
K,0037
GR,0195
GR,1040
GR,0003
G,0001
G,0008
K,0168
GR,0003
G,0001
G,0008
G,0499
GR,0194
GR,0003
G,0001
K,0037
GR,0196
GR,0195
GR,1040
G,0001
G,0008
GR,0003
GR,0194
GR,0003
GR,0417
GR,0194
GR,0003
G,0008
GR,0194
GR,0003
GR,0037
G,0008
GR,0473
GR,0421
GR,0194
GR,0003
GR,0001
GR,0194
GR,0003
G,0008
GR,0194
G,0001
G,0008
GR,0475
GR,0194
GR,0167
GR,0003
GR,0037
GR,0194
GR,0003
G,0001
GR,0194
GR,0003
GR,0194
GR,0167
G,0001
GR,0194
GR,0167
GR,0003
G,0001
G,0001
GR,0016
GR,0194
GR,0167
GR,0003
G,0001
GR,0194
GR,0167
GR,0003
GR,0037
GR,0194
GR,0167
GR,0003
G,0001
GR,0194
GR,0167
GR,0003
G,0001
GR,0194
GR,0167
GR,0003
G,0001
GR,0194
GR,0167
GR,0003
G,0001
GR,0003
G,0001
G,0008
GR,0003
GR,0016
GR,0194
GR,0003
GR,1168
GR,1167
GR,1168
G,0001
GR,0042
GR,0436
GR,1071
GR,0648
GR,0461
GR,0042
GR,1070
GR,0042
GR,0436
GR,0159
GR,0193
GR,0042
G,0001
GR,0951
GR,0042
G,0001
GR,0249
GR,0250
GR,0018
GR,0138
GR,0018
GR,0018
GR,0018
GR,0018
GR,0018
GR,0138
K,1041
Q,0002
G,0008
G,0008
G,0021
G,0008
G,0008
GR,1062
G,0008
GR,1062
G,0008
G,0021
GR,1062
G,0008
G,0008
G,0008
G,0008
Q,0002
GR,1062
GR,0810
GR,0681
GR,0444
GR,1035
GR,0633
GR,0092
GR,0752
GR,0799
GR,0752
GR,0800
GR,0228
GR,0228
GR,0156
GR,0283
GR,0158
GR,0080
GR,0281
GR,1194
GR,1219
GR,0156
GR,0156
GR,0283
GR,0518
GR,0909
GR,0080
GR,0156
GR,0080
AA,1211
GR,0283
GR,0518
GR,0283
GR,0283
GR,0307
GR,0516
GR,0445
GR,0369
GR,0595
GR,0094
GR,0594
GR,0593
GR,0427
GR,0646
GR,0592
GR,0094
GR,1111
GR,1110
GR,1109
GR,1110
GR,1111
GR,1109
GR,0154
M,0678
GR,0338
AB,0912
GR,0340
GR,0912
GR,0918
GR,0911
GR,0790
U,0791
GR,0127
GR,1166
GR,0591
Q,1002
GR,0590
Q,1002
Q,0002
GR,0758
GR,0525
GR,0757
GR,0094
GR,0514
GR,0013
GR,1059
GR,1021
GR,0165
GR,0762
AD,1063
AB,0955
GR,0059
AB,1030
GR,1031
AB,0061
AB,0060
Q,1003
GR,0059
Q,0002
AB,1030
GR,0059
G,0493
AB,1026
AB,0060
AB,0061
GR,0798
GR,0892
GR,0798
GR,0050
GR,0050
GR,0892
GR,1028
G,0004
AD,0061
GR,1024
G,0004
GR,1028
Q,0002
GR,1027
G,0004
G,0004
GR,1028
SF-JC,1026
GR,1029
G,0004
GR,1032
G,0001
GR,0013
GR,1032
G,0001
GR,0477
H,0355
GR,1018
GR,1017
GR,1019
GR,1033
Q,0002
GR,1175
GR,0880
GR,1034
AB,1026
GR,0059
Q,0002
AB,0812
AB,0026
GR,0132
GR,0026
GR,0133
GR,1117
GR,0277
GR,0211
GR,0881
G,0001
GR,1013
V,0697
GR,0485
GR,0697
GR,0697
GR,0001
GR,0573
QT,1156
I,0016
GR,0572
U,0571
GR,0570
G,0001
GR,0991
GR,0570
P,0416
U,0988
U,0574
GR,0666
GR,0979
GR,0003
U,0057
GR,0979
U,0057
GR,0979
GR,0003
U,0057
GR,0979
U,0057
GR,0979
U,0057
GR,0984
GR,0534
U,0057
G,0001
GR,0980
GR,1187
GR,0003
GR,1187
GR,0003
GR,1187
GR,0003
GR,0006
GR,0902
GR,0003
G,0011
P,0016
GR,0902
GR,0003
G,0011
P,0016
GR,0818
GR,0003
G,0022
P,0016
GR,0818
GR,0003
G,0022
P,0016
GR,0985
GR,0003
GR,0242
GR,0239
GR,0240
GR,0240
GR,0240
U,0029
GR,0240
GR,0241
GR,0028
GR,0029
GR,0334
GR,0378
U,0374
GR,0006
GR,0378
U,0374
GR,0006
GR,0376
U,0374
GR,0377
G,0001
GR,0003
I,0017
GR,0373
GR,0375
G,0001
GR,1141
U,0374
U,0374
GR,1141
GR,0379
G,0001
GR,0003
GR,0603
GR,0805
GR,0006
Q,1048
Q,0830
GR,0828
GR,0828
Q,0830
GR,0828
Q,0830
GR,0828
GR,0828
GR,0828
GR,0828
GR,0829
GR,0832
GR,1214
GR,0834
G,0001
GR,1214
GR,1214
GR,0841
GR,0006
G,0001
GR,0016
GR,1212
GR,0049
GR,0278
GR,1217
GR,0049
GR,0049
GR,0589
GR,0001
GR,0942
GR,0012
GR,0012
GR,0043
GR,0012
Q,0002
GR,0012
G,0001
GR,0043
GR,0206
GR,0043
GR,0276
GR,0043
GR,0616
GR,0043
G,0001
G,0636
GR,0012
GR,0012
Q,0002
GR,0012
Q,0002
GR,0012
GR,0012
GR,0012
GR,0012
GR,0012
GR,0043
G,0001
GR,0302
GR,0043
G,0001
G,0636
GR,0637
GR,0043
G,0001
GR,0635
GR,0045
GR,0629
GR,0043
G,0001
GR,0045
GR,0638
