source,target
723,设立变更
724,设立变更
948,设立变更
945,设立变更
867,设立变更
581,设立变更
708,设立变更
947,设立变更
765,设立变更
1,职业资格
217,职业资格
56,职业资格
47,设立变更
946,设立变更
2,设立变更
693,其他
695,其他
694,其他
890,其他
693,其他
692,其他
699,其他
306,其他
305,其他
306,其他
663,其他
321,其他
696,其他
305,其他
306,其他
198,其他
1056,其他
198,其他
696,其他
305,其他
306,其他
699,其他
306,其他
695,其他
692,其他
677,民族宗教
676,民族宗教
1,就业创业
82,证件办理
1,证件办理
705,证件办理
16,证件办理
522,其他
504,其他
69,其他
725,其他
689,其他
722,其他
1,其他
183,其他
701,其他
1,其他
183,其他
698,其他
1,其他
183,其他
717,其他
1,其他
183,其他
501,交通出行
1,交通出行
8,交通出行
500,交通出行
332,交通出行
1061,交通出行
193,其他
1,教育科研
1,交通出行
8,交通出行
1,交通出行
8,交通出行
1,交通出行
8,交通出行
1,交通出行
1,交通出行
1,交通出行
13,交通出行
13,交通出行
13,交通出行
1,交通出行
1,交通出行
1,交通出行
1,证件办理
1,交通出行
8,交通出行
54,出境入境
5,出境入境
10,出境入境
54,出境入境
10,出境入境
54,出境入境
5,出境入境
488,出境入境
3,出境入境
10,出境入境
54,出境入境
5,出境入境
489,出境入境
3,出境入境
54,出境入境
5,出境入境
488,出境入境
54,出境入境
5,出境入境
488,出境入境
3,出境入境
860,出境入境
54,出境入境
861,出境入境
35,出境入境
54,出境入境
5,出境入境
488,出境入境
3,出境入境
54,出境入境
10,出境入境
54,出境入境
5,出境入境
488,出境入境
3,出境入境
54,出境入境
488,出境入境
3,出境入境
54,出境入境
5,出境入境
3,出境入境
488,出境入境
54,出境入境
488,出境入境
86,出境入境
3,出境入境
10,出境入境
83,出境入境
54,出境入境
488,出境入境
54,出境入境
10,出境入境
54,出境入境
3,出境入境
10,出境入境
54,出境入境
5,出境入境
488,出境入境
54,出境入境
5,出境入境
488,出境入境
543,交通出行
399,交通出行
1104,出境入境
19,出境入境
3,出境入境
1,出境入境
203,出境入境
1104,出境入境
1,出境入境
3,出境入境
423,出境入境
1,出境入境
505,出境入境
1104,出境入境
41,出境入境
505,出境入境
210,出境入境
1104,出境入境
330,出境入境
422,出境入境
1,出境入境
1104,出境入境
210,出境入境
505,出境入境
263,出境入境
423,出境入境
11,出境入境
718,出境入境
5,出境入境
330,出境入境
1,出境入境
706,出境入境
1104,出境入境
2,出境入境
136,出境入境
811,出境入境
1104,出境入境
263,出境入境
256,出境入境
1,出境入境
1,出境入境
904,出境入境
1,出境入境
4,出境入境
1104,出境入境
1,出境入境
1,出境入境
423,出境入境
330,出境入境
505,出境入境
1104,出境入境
263,出境入境
1,出境入境
423,出境入境
876,出境入境
330,出境入境
256,出境入境
4,出境入境
62,出境入境
492,出境入境
1104,出境入境
263,出境入境
87,出境入境
210,出境入境
5,出境入境
1104,出境入境
1,出境入境
423,出境入境
901,出境入境
424,出境入境
3,出境入境
1104,出境入境
170,出境入境
210,出境入境
5,出境入境
876,出境入境
654,出境入境
1104,出境入境
872,出境入境
424,出境入境
1,出境入境
1,出境入境
85,出境入境
263,出境入境
1,出境入境
1104,出境入境
626,出境入境
41,出境入境
4,出境入境
1,出境入境
256,出境入境
1104,出境入境
4,出境入境
1,出境入境
1104,出境入境
626,出境入境
41,出境入境
4,出境入境
1,出境入境
876,出境入境
424,出境入境
1104,出境入境
1,出境入境
72,出境入境
41,出境入境
1,出境入境
423,出境入境
3,出境入境
5,出境入境
862,出境入境
1,出境入境
5,出境入境
862,出境入境
5,出境入境
1,出境入境
864,出境入境
40,出境入境
13,出境入境
3,出境入境
819,出境入境
51,出境入境
796,出境入境
3,出境入境
54,出境入境
5,出境入境
5,出境入境
54,出境入境
1,出境入境
806,出境入境
84,出境入境
19,出境入境
5,出境入境
62,出境入境
54,出境入境
5,出境入境
10,出境入境
877,出境入境
840,出境入境
548,出境入境
624,出境入境
54,出境入境
488,出境入境
161,出境入境
3,出境入境
10,出境入境
54,出境入境
488,出境入境
161,出境入境
3,出境入境
10,出境入境
998,出境入境
54,出境入境
5,出境入境
488,出境入境
10,出境入境
54,出境入境
5,出境入境
488,出境入境
10,出境入境
877,出境入境
863,出境入境
859,出境入境
54,出境入境
488,出境入境
13,出境入境
877,出境入境
1,出境入境
806,出境入境
84,出境入境
1130,出境入境
605,出境入境
1,交通出行
398,交通出行
402,交通出行
135,交通出行
653,出境入境
1,出境入境
79,出境入境
54,出境入境
625,出境入境
54,出境入境
442,规划建设
1007,规划建设
552,创业
1,创业
586,创业
560,证件办理
558,证件办理
554,找工作
700,找工作
587,找工作
1,找工作
1161,就业创业
667,就业创业
223,就业创业
557,就业创业
667,就业创业
878,就业创业
555,找工作
556,就业创业
858,其他
857,其他
91,司法公证
907,司法公证
91,司法公证
907,司法公证
91,司法公证
907,司法公证
91,司法公证
907,司法公证
908,司法公证
908,司法公证
908,司法公证
140,司法公证
583,司法公证
140,司法公证
583,司法公证
140,司法公证
583,司法公证
582,司法公证
582,司法公证
582,司法公证
1144,司法公证
1144,司法公证
1144,司法公证
268,司法公证
3,司法公证
187,司法公证
268,司法公证
3,司法公证
187,司法公证
358,司法公证
553,司法公证
362,司法公证
322,司法公证
318,司法公证
359,司法公证
319,司法公证
360,司法公证
934,司法公证
628,司法公证
363,司法公证
361,司法公证
77,司法公证
364,司法公证
533,司法公证
1,职业资格
17,职业资格
764,设立变更
411,设立变更
412,设立变更
356,其他
1162,其他
355,其他
352,其他
355,其他
350,其他
357,其他
351,其他
354,其他
355,其他
1008,其他
357,其他
351,其他
439,其他
884,其他
885,其他
579,其他
426,其他
843,其他
842,其他
882,证件办理
756,证件办理
117,证件办理
640,规划建设
335,规划建设
640,规划建设
530,规划建设
1,规划建设
530,规划建设
1,规划建设
793,规划建设
530,规划建设
1,规划建设
793,规划建设
530,规划建设
793,规划建设
439,规划建设
1,规划建设
530,规划建设
793,规划建设
530,规划建设
1,规划建设
530,规划建设
1,规划建设
793,规划建设
530,规划建设
793,规划建设
439,规划建设
1186,规划建设
1186,规划建设
53,规划建设
433,规划建设
1186,规划建设
1186,规划建设
53,规划建设
450,规划建设
1186,规划建设
53,规划建设
455,规划建设
53,规划建设
1186,规划建设
1053,规划建设
1186,规划建设
53,规划建设
1186,规划建设
53,规划建设
1053,规划建设
435,规划建设
661,规划建设
435,规划建设
221,规划建设
661,规划建设
435,规划建设
797,规划建设
661,规划建设
1186,规划建设
432,规划建设
265,规划建设
435,规划建设
221,规划建设
661,规划建设
435,规划建设
797,规划建设
435,规划建设
996,规划建设
435,规划建设
661,规划建设
1186,规划建设
53,规划建设
433,规划建设
1186,规划建设
333,其他
333,环保绿化
440,环保绿化
429,环保绿化
429,环保绿化
441,环保绿化
822,证件办理
922,证件办理
74,职业资格
1138,职业资格
1067,职业资格
1133,职业资格
74,职业资格
1134,职业资格
1139,职业资格
1137,职业资格
524,职业资格
74,职业资格
1132,职业资格
1139,职业资格
74,职业资格
1131,职业资格
1037,职业资格
309,环保绿化
2,环保绿化
311,环保绿化
310,环保绿化
511,环保绿化
2,环保绿化
512,环保绿化
1076,环保绿化
511,环保绿化
2,环保绿化
512,环保绿化
1076,环保绿化
511,环保绿化
511,环保绿化
2,环保绿化
512,环保绿化
1076,环保绿化
910,环保绿化
823,规划建设
820,交通出行
839,交通出行
1,交通出行
298,交通出行
12,职业资格
219,职业资格
218,职业资格
1095,职业资格
1,职业资格
220,职业资格
1135,职业资格
12,职业资格
1177,职业资格
12,职业资格
274,职业资格
258,规划建设
258,交通出行
143,交通出行
134,交通出行
1,交通出行
134,交通出行
143,交通出行
1,交通出行
664,交通出行
549,交通出行
249,交通出行
250,交通出行
261,交通出行
325,交通出行
873,交通出行
68,交通出行
259,交通出行
261,交通出行
259,交通出行
260,交通出行
325,交通出行
1,交通出行
1,交通出行
1,职业资格
8,职业资格
3,职业资格
37,职业资格
195,职业资格
1040,职业资格
3,职业资格
1,职业资格
8,职业资格
168,职业资格
3,职业资格
1,职业资格
8,职业资格
499,职业资格
194,职业资格
3,职业资格
1,职业资格
37,职业资格
196,职业资格
195,职业资格
1040,职业资格
1,职业资格
8,职业资格
3,职业资格
194,职业资格
3,职业资格
417,职业资格
194,职业资格
3,职业资格
8,职业资格
194,职业资格
3,职业资格
37,职业资格
8,职业资格
473,职业资格
421,职业资格
194,职业资格
3,职业资格
1,职业资格
194,职业资格
3,职业资格
8,职业资格
194,职业资格
1,职业资格
8,职业资格
475,职业资格
194,职业资格
167,职业资格
3,职业资格
37,职业资格
194,职业资格
3,职业资格
1,职业资格
194,职业资格
3,职业资格
194,职业资格
167,职业资格
1,职业资格
194,职业资格
167,职业资格
3,职业资格
1,职业资格
1,职业资格
16,职业资格
194,职业资格
167,职业资格
3,职业资格
1,职业资格
194,职业资格
167,职业资格
3,职业资格
37,职业资格
194,职业资格
167,职业资格
3,职业资格
1,职业资格
194,职业资格
167,职业资格
3,职业资格
1,职业资格
194,职业资格
167,职业资格
3,职业资格
1,职业资格
194,职业资格
167,职业资格
3,职业资格
1,职业资格
3,职业资格
1,职业资格
8,职业资格
3,职业资格
16,职业资格
194,职业资格
3,职业资格
1168,职业资格
1167,职业资格
1168,职业资格
1,职业资格
42,交通出行
436,交通出行
1071,交通出行
648,交通出行
461,交通出行
42,交通出行
1070,交通出行
42,交通出行
436,交通出行
159,交通出行
193,交通出行
42,交通出行
1,交通出行
951,交通出行
42,交通出行
1,交通出行
249,交通出行
250,交通出行
18,交通出行
138,交通出行
18,交通出行
18,交通出行
18,交通出行
18,交通出行
18,交通出行
138,交通出行
1041,其他
2,其他
8,其他
8,其他
21,其他
8,其他
8,其他
1062,其他
8,其他
1062,其他
8,其他
21,其他
1062,其他
8,其他
8,其他
8,其他
8,其他
2,其他
1062,其他
810,其他
681,其他
444,其他
1035,其他
633,其他
92,其他
752,其他
799,其他
752,其他
800,其他
228,其他
228,其他
156,其他
283,其他
158,其他
80,其他
281,其他
1194,其他
1219,其他
156,其他
156,其他
283,其他
518,其他
909,其他
80,其他
156,其他
80,其他
1211,其他
283,其他
518,其他
283,其他
283,其他
307,其他
516,其他
445,其他
369,其他
595,准营准办
94,准营准办
594,准营准办
593,准营准办
427,准营准办
646,准营准办
592,准营准办
94,准营准办
1111,准营准办
1110,准营准办
1109,准营准办
1110,准营准办
1111,准营准办
1109,准营准办
154,其他
678,其他
338,教育科研
912,教育科研
340,其他
912,其他
918,其他
911,其他
790,其他
791,其他
127,其他
1166,其他
591,其他
1002,其他
590,其他
1002,其他
2,准营准办
758,准营准办
525,准营准办
757,准营准办
94,准营准办
514,职业资格
13,职业资格
1059,医疗卫生
1021,证件办理
165,证件办理
762,证件办理
1063,证件办理
955,证件办理
59,证件办理
1030,证件办理
1031,证件办理
61,证件办理
60,证件办理
1003,证件办理
59,证件办理
2,证件办理
1030,证件办理
59,证件办理
493,证件办理
1026,证件办理
60,证件办理
61,证件办理
798,证件办理
892,证件办理
798,证件办理
50,证件办理
50,证件办理
892,证件办理
1028,证件办理
4,证件办理
61,证件办理
1024,证件办理
4,证件办理
1028,证件办理
2,证件办理
1027,证件办理
4,证件办理
4,证件办理
1028,证件办理
1026,证件办理
1029,证件办理
4,证件办理
1032,职业资格
1,职业资格
13,职业资格
1032,证件办理
1,证件办理
477,其他
355,其他
1018,规划建设
1017,规划建设
1019,其他
1033,其他
2,其他
1175,其他
880,其他
1034,公共安全
1026,证件办理
59,证件办理
2,证件办理
812,证件办理
26,证件办理
132,证件办理
26,其他
133,其他
1117,其他
277,其他
211,其他
881,职业资格
1,职业资格
1013,文化体育
697,文化体育
485,文化体育
697,文化体育
697,文化体育
1,文化体育
573,职业资格
1156,职业资格
16,职业资格
572,医疗卫生
571,医疗卫生
570,证件办理
1,证件办理
991,证件办理
570,证件办理
416,证件办理
988,证件办理
574,证件办理
666,医疗卫生
979,医疗卫生
3,医疗卫生
57,医疗卫生
979,医疗卫生
57,医疗卫生
979,医疗卫生
3,医疗卫生
57,医疗卫生
979,医疗卫生
57,医疗卫生
979,医疗卫生
57,医疗卫生
984,医疗卫生
534,医疗卫生
57,医疗卫生
1,医疗卫生
980,医疗卫生
1187,医疗卫生
3,医疗卫生
1187,医疗卫生
3,医疗卫生
1187,医疗卫生
3,医疗卫生
6,医疗卫生
902,职业资格
3,职业资格
11,职业资格
16,职业资格
902,职业资格
3,职业资格
11,职业资格
16,职业资格
818,职业资格
3,职业资格
22,职业资格
16,职业资格
818,职业资格
3,职业资格
22,职业资格
16,职业资格
985,职业资格
3,职业资格
242,医疗卫生
239,医疗卫生
240,医疗卫生
240,医疗卫生
240,医疗卫生
29,医疗卫生
240,医疗卫生
241,医疗卫生
28,医疗卫生
29,医疗卫生
334,医疗卫生
378,医疗卫生
374,医疗卫生
6,医疗卫生
378,医疗卫生
374,医疗卫生
6,医疗卫生
376,医疗卫生
374,医疗卫生
377,医疗卫生
1,医疗卫生
3,医疗卫生
17,医疗卫生
373,医疗卫生
375,医疗卫生
1,医疗卫生
1141,医疗卫生
374,医疗卫生
374,医疗卫生
1141,医疗卫生
379,医疗卫生
1,医疗卫生
3,医疗卫生
603,医疗卫生
805,纳税
6,纳税
1048,准营准办
830,准营准办
828,准营准办
828,准营准办
830,准营准办
828,准营准办
830,准营准办
828,准营准办
828,准营准办
828,准营准办
828,准营准办
829,准营准办
832,证件办理
1214,证件办理
834,证件办理
1,证件办理
1214,证件办理
1214,证件办理
841,证件办理
6,证件办理
1,证件办理
16,证件办理
1212,准营准办
49,准营准办
278,准营准办
1217,准营准办
49,准营准办
49,准营准办
589,设立变更
1,设立变更
942,设立变更
12,设立变更
12,设立变更
43,设立变更
12,设立变更
2,设立变更
12,设立变更
1,设立变更
43,设立变更
206,设立变更
43,设立变更
276,设立变更
43,设立变更
616,其他
43,就业创业
1,就业创业
636,就业创业
12,设立变更
12,设立变更
2,设立变更
12,设立变更
2,设立变更
12,设立变更
12,设立变更
12,设立变更
12,设立变更
12,设立变更
43,设立变更
1,设立变更
302,设立变更
43,就业创业
1,就业创业
636,就业创业
637,就业创业
43,设立变更
1,设立变更
635,设立变更
45,其他
629,其他
43,设立变更
1,设立变更
45,其他
638,其他
45,其他
638,其他
12,设立变更
1,设立变更
45,其他
1,其他
12,设立变更
1,设立变更
2,设立变更
43,设立变更
1,设立变更
2,设立变更
45,其他
638,其他
45,其他
43,设立变更
1,设立变更
636,设立变更
45,其他
12,设立变更
12,设立变更
12,设立变更
12,设立变更
1,设立变更
43,设立变更
1,设立变更
12,设立变更
1,设立变更
2,设立变更
45,其他
1,其他
43,设立变更
1,设立变更
302,设立变更
43,设立变更
1,设立变更
635,设立变更
331,其他
963,其他
1,其他
116,其他
1,其他
704,其他
963,其他
704,其他
963,其他
964,其他
1078,其他
507,其他
963,其他
1,其他
535,其他
536,其他
115,其他
894,其他
1068,其他
774,其他
448,其他
915,其他
542,其他
775,其他
900,其他
774,其他
774,其他
448,其他
769,其他
443,其他
657,其他
428,其他
657,其他
657,其他
126,其他
657,其他
1042,其他
657,其他
1042,其他
657,其他
657,其他
657,其他
126,其他
989,其他
990,其他
540,准营准办
539,准营准办
2,准营准办
93,准营准办
952,准营准办
2,准营准办
538,准营准办
320,准营准办
2,准营准办
540,准营准办
1005,准营准办
166,准营准办
1005,准营准办
540,准营准办
540,准营准办
2,准营准办
656,其他
719,设立变更
631,设立变更
719,设立变更
631,设立变更
719,设立变更
719,设立变更
1216,设立变更
963,外国人
875,外国人
963,外国人
875,外国人
963,外国人
875,外国人
267,其他
781,准营准办
476,准营准办
123,其他
122,其他
1198,其他
1203,其他
1203,其他
1204,其他
1205,其他
1204,其他
949,准营准办
949,证件办理
950,准营准办
1,准营准办
949,证件办理
950,设立变更
1,设立变更
950,准营准办
1,准营准办
1,准营准办
975,医疗卫生
665,医疗卫生
973,医疗卫生
972,医疗卫生
974,医疗卫生
971,医疗卫生
6,医疗卫生
974,医疗卫生
971,医疗卫生
6,医疗卫生
974,医疗卫生
647,医疗卫生
971,医疗卫生
978,医疗卫生
6,医疗卫生
973,医疗卫生
647,医疗卫生
974,医疗卫生
971,医疗卫生
975,医疗卫生
976,医疗卫生
977,医疗卫生
588,医疗卫生
933,医疗卫生
981,医疗卫生
1108,医疗卫生
983,医疗卫生
1143,医疗卫生
1187,医疗卫生
3,医疗卫生
986,医疗卫生
979,医疗卫生
57,医疗卫生
980,医疗卫生
3,医疗卫生
463,其他
177,其他
562,准营准办
958,准营准办
687,设立变更
958,设立变更
2,设立变更
961,创业
959,其他
2,其他
691,其他
960,设立变更
2,设立变更
962,准营准办
162,交通出行
1025,证件办理
2,证件办理
1,证件办理
1023,证件办理
1,证件办理
2,证件办理
1025,证件办理
2,证件办理
898,证件办理
164,证件办理
1,证件办理
1025,证件办理
2,证件办理
1,证件办理
898,证件办理
1025,证件办理
163,证件办理
2,证件办理
835,证件办理
66,证件办理
16,证件办理
66,证件办理
835,证件办理
66,证件办理
837,证件办理
836,证件办理
846,设立变更
515,设立变更
649,设立变更
1072,设立变更
312,设立变更
1014,设立变更
675,设立变更
999,设立变更
1209,设立变更
408,其他
1049,其他
406,其他
566,其他
506,其他
564,其他
192,社会救助
1,社会救助
192,社会救助
1,社会救助
690,社会救助
997,司法公证
1,司法公证
266,司法公证
465,人才
490,人才
323,住房保障
1,住房保障
6,住房保障
1,住房保障
545,住房保障
736,住房保障
1,住房保障
323,住房保障
1,住房保障
6,住房保障
545,住房保障
736,住房保障
1,住房保障
323,住房保障
6,住房保障
545,住房保障
1,住房保障
1,住房保障
736,住房保障
1,住房保障
9,住房保障
4,住房保障
523,住房保障
545,住房保障
